run_id,gain,psf_sigma_x,psf_sigma_y,psf_theta,enf,optical_bg_lipid,lipid_brightness,spot_density
repeat_062,27.940340565940893,2.2575954416143578,2.3808033098653336,-40.437675657851216,1.5842417027668951,1.5314897286889517,18750.334319408976,429.66290276623505
repeat_063,16.037746681701233,1.8170610493131987,1.8273550379437207,-43.26562705645474,1.9525392412349816,2.4469948552892564,11097.795409907803,736.3907375806242
repeat_064,25.7628268975693,2.390052572344022,2.082158023651889,12.383581881282995,1.5034577611942979,1.1017329429207448,15899.133653234752,551.5068804201557
repeat_065,33.240472010690006,1.998547879176607,2.495356162782598,34.005527327026044,1.7990105094918074,1.0595738951083453,15765.412000113452,591.0865494868367
repeat_066,28.756043568185245,1.9482886552557563,2.3458431311291514,40.30909011500754,1.3805702825590724,1.0968629892540682,15030.481677777789,616.9689296508459
repeat_067,18.770455823103475,2.110643162371359,2.000061513739393,-21.147104802701612,2.162672770639497,1.9862656201748525,14096.904140287541,601.4623506379739
repeat_068,15.464781200077082,1.696971936708599,2.7677701379251682,23.782971151733413,2.4468323258882045,2.082527746245407,15245.02386745066,541.7419359755172
repeat_069,18.13452829717742,1.9809010059986771,2.3447163321594857,-31.121958500652628,1.7454251390882283,2.2625813304299034,15072.118903645718,575.4270520045872
repeat_070,13.905474183529996,2.210037620928381,2.098368959771612,-0.3475062902377548,1.7435813174102657,2.558488479691972,14664.797012419522,587.8634918122651
repeat_071,21.994040793608434,2.335066471741803,2.3575008049417456,-0.2344524563553112,2.3909217098319466,2.5343080652244643,24368.80423825923,332.2234638616654
repeat_072,18.980016793483948,1.8220843862029723,2.3317603194473038,25.047731706250353,2.470674125800227,1.9921512401944812,14121.10988116993,589.5987585864012
repeat_073,39.142186545575456,2.0997096659969245,2.4984992659744942,-32.90439035123355,1.1053813011126539,0.8506404900206731,18357.26525271906,522.9368603685659
repeat_074,31.500879675555623,1.6838121927043648,2.1034973730562068,39.92523200957209,1.2410568718323034,1.097350412463947,11281.832384875239,800.2000869671741
repeat_075,27.310969095677688,1.7358404509866918,2.3566914198829245,-6.469240648499376,1.5408366786418037,1.3515204254837028,12853.556953323785,744.44871474536
repeat_076,20.862149827446295,1.9324105329383596,2.117537238627134,-29.790418195475375,2.165381437586389,1.706934571813168,13898.211266246182,601.7856964062328
repeat_077,18.492514178970808,1.936125060396098,2.4558708337386213,-42.66708140512472,1.7158178813704883,1.7615804990671053,15190.085119398367,562.0774878452978
repeat_078,18.864308582638326,1.7197930015745433,2.658367451591139,21.092978158305073,2.2986225937864684,2.4658395158519912,16712.349598725006,528.6217804492769
repeat_079,9.720382568631543,1.7488715053318478,2.020690374662712,-35.158250859060864,2.418389131766202,3.7353716410050763,11152.80718470032,811.7672047693197
repeat_080,31.774309202502824,2.1384181391436945,2.133443480142794,-15.608408613384745,1.7664945183092917,1.3345385756142423,16317.416260052312,545.3695745447774
repeat_081,29.89125385317474,1.9439549464491868,2.022413792124101,-26.090190170483318,1.6719463783371091,1.1902198272066973,13131.748016812284,632.8742113448719
repeat_082,38.78979793546681,1.8315782588777558,2.597293252170281,-35.45443296126013,1.4705153202821066,0.834189873601394,15802.86268404899,537.621391188478
repeat_083,28.647595093749217,1.7105277524799787,2.2549992717927365,29.15703999827795,1.4162106488858306,1.2977205928402022,16126.550778812407,546.1383371333707
repeat_084,19.989278442351644,1.8296656374596234,2.535156627413462,38.05617438255825,2.399412623036281,1.7052245425364234,14744.504178825126,616.477665073353
repeat_085,24.534016386453416,2.26898167583026,1.9770379328160663,13.565043946530428,1.4656081946666504,1.5042147244354749,16500.7221698897,506.5620541487059
repeat_086,29.319993444842112,1.770023179766879,2.1080083207918667,-13.568759281344725,1.3109399039251743,1.0951734458143552,12136.389473417523,694.0097839815592
repeat_087,24.235764286557888,1.7875183928913376,2.407527358414579,13.501353173747017,1.7062131358345676,1.239411693530096,13850.713328760181,617.0140608620218
repeat_088,14.934764264638435,2.1869857177665937,2.079921751926047,-13.076496535052128,2.3704894899923925,2.4640844395744046,14761.314002261634,628.721672776848
repeat_089,5.927071602258513,2.157953897928486,2.1397679624605335,-17.364363569928525,2.406635270103128,8.588955567439122,18314.74070786903,494.28592638007956
repeat_090,21.639701588649935,1.6436729387180231,2.1679585848835523,13.929472453149607,1.9582176295610472,1.5295106045081093,11493.101376218367,733.1827468584336
repeat_091,17.305354305129548,1.8472243974824518,2.626318442111365,-30.689187507800067,2.331644380933048,1.8943099066554547,16053.91071204251,543.148368033129
repeat_092,23.114874985069548,1.8115738218296265,2.651386941073865,32.055238477593264,2.45765648675182,1.6649535548345216,15531.79127193021,538.6142298379636
repeat_093,14.381044474613935,2.0650023563706523,2.6535380342339785,-34.8914206596098,2.4052113650751115,2.9310723203807494,19714.68231894208,442.64510250247673
repeat_094,19.846286365026828,1.6574643445505808,2.2907737737893106,-21.15286932398379,1.445844736380092,1.4880680661625605,12769.391077287002,712.2370008244862
repeat_095,19.858155568911627,1.7171990594243898,2.2923677174762176,3.7439447800905414,2.2196460030036556,1.68294862485681,12414.648188464767,700.1099649083152
repeat_096,26.33864546515637,1.9161903450451592,2.4189095414085555,-9.40175698924812,2.029361425821534,1.979484192710641,16135.92199244265,484.71149980986
repeat_097,13.414589624195461,1.764112886815994,2.3415765436692153,32.473717551001144,2.1155196692999705,2.862144702160557,15082.780727824183,666.668782802103
repeat_098,22.01512827445086,2.0595785156922,2.3683930642586692,-26.973447669646614,2.3163514249606196,1.4307753228011535,16204.491163556182,497.34107448191895
repeat_099,18.199374810715355,1.8533069109751152,2.2072104906010424,-37.23484776266728,2.3794502319600883,2.3767298338307326,14369.33795164717,631.9172044579811
